                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3066,                 4.6403,                 1.7526,                0.01629,                0.38158,                0.15245,                0.04498,                  2.003,                 3.8637,                 1.8772,                  0.091,                  0.001,                  0.001
                      2,                 1.8427,                 2.0425,                 1.6518,                0.25364,                0.10965,                0.08183,                0.02071,                 2.4867,                 3.1809,                 2.9292,               0.081092,              0.0020916,              0.0020916
                      3,                 1.7243,                 1.3192,                 1.5554,                0.00229,                0.26754,                0.00148,                0.00045,                 2.9623,                    inf,                  4.146,               0.071174,              0.0031744,              0.0031744
                      4,                  1.637,                 1.1517,                 1.5188,                0.00061,                0.13158,                0.00037,                0.00012,                 3.7498,                    inf,                   35.9,               0.061248,              0.0042485,              0.0042485
                      5,                 1.5935,                 1.0975,                 1.5236,                0.00106,                0.22807,                0.00082,                0.00024,                 3.4832,                    inf,                 9.5202,               0.051314,              0.0053137,              0.0053137
                      6,                 1.6114,                 1.0572,                 1.5303,                0.00222,                0.42544,                0.00163,                0.00059,                 2.6532,                    inf,                 4.4864,                0.04137,              0.0063701,              0.0063701
                      7,                 1.6048,                 1.0424,                 1.5276,                0.00476,                0.25877,                 0.0026,                0.00077,                 3.5961,                    inf,                  4.376,               0.031418,              0.0074178,              0.0074178
                      8,                 1.6408,                 1.0729,                 1.5399,                0.00086,                0.15351,                0.00047,                0.00016,                 3.0522,                    inf,                 4.5938,               0.021457,              0.0084566,              0.0084566
                      9,                 1.6046,                 1.0132,                 1.5194,                0.00092,                0.19737,                0.00061,                0.00017,                 4.2594,                    inf,                 7.9599,               0.011487,              0.0094867,              0.0094867
                     10,                 1.6363,                 1.0297,                 1.5753,                0.00173,                0.37281,                0.00122,                0.00035,                 3.3998,                    inf,                 4.3633,              0.0096404,              0.0096404,              0.0096404
                     11,                 1.5799,                0.97541,                 1.5288,                0.01799,                0.09211,                0.00733,                0.00234,                 2.8322,                 21.806,                 3.0424,              0.0096404,              0.0096404,              0.0096404
                     12,                 1.5336,                 0.9457,                  1.487,                 0.0457,                0.43421,                0.03266,                0.01041,                 2.3559,                 7.9362,                 2.7133,              0.0096004,              0.0096004,              0.0096004
                     13,                 1.5032,                0.92012,                 1.4947,                0.18287,                0.23246,                0.12369,                0.03936,                 2.4163,                  5.807,                  2.729,              0.0095604,              0.0095604,              0.0095604
                     14,                 1.5429,                0.87349,                 1.5357,                0.15108,                0.10088,                0.05913,                0.01201,                 3.3006,                 13.845,                 4.2543,              0.0095205,              0.0095205,              0.0095205
                     15,                 1.5061,                0.87335,                 1.5327,                0.18303,                0.11842,                0.08525,                0.02792,                 2.2772,                 16.934,                 2.5174,              0.0094805,              0.0094805,              0.0094805
                     16,                 1.4847,                0.85992,                 1.4894,                0.21436,                0.28947,                0.18335,                0.06849,                 2.0269,                 17.406,                 2.2147,              0.0094406,              0.0094406,              0.0094406
                     17,                 1.5023,                0.85179,                 1.4847,                0.21899,                0.37719,                0.19816,                 0.0829,                 1.9472,                 3.5515,                 2.0818,              0.0094006,              0.0094006,              0.0094006
                     18,                 1.4621,                0.85053,                 1.5012,                0.65394,                0.46413,                0.54172,                0.26278,                 1.8281,                 7.4077,                 1.9819,              0.0093606,              0.0093606,              0.0093606
                     19,                 1.4704,                0.79934,                 1.4994,                0.66601,                0.52632,                0.61231,                0.25874,                 1.7522,                  6.056,                 1.9737,              0.0093207,              0.0093207,              0.0093207
                     20,                 1.4584,                0.82787,                 1.4743,                0.86942,                0.77632,                0.86458,                0.42843,                 1.5953,                 3.9834,                 1.8428,              0.0092807,              0.0092807,              0.0092807
                     21,                 1.4256,                0.80606,                 1.4212,                 0.8569,                0.86671,                0.93597,                0.49091,                 1.5232,                 1.1116,                 1.7259,              0.0092408,              0.0092408,              0.0092408
                     22,                 1.4157,                0.76879,                  1.449,                0.87855,                0.85662,                 0.9312,                0.50028,                 1.5042,                 1.4404,                 1.7028,              0.0092008,              0.0092008,              0.0092008
                     23,                 1.4218,                0.78464,                 1.4503,                0.86617,                0.86404,                0.94926,                0.51316,                 1.5085,                 1.1323,                 1.6981,              0.0091608,              0.0091608,              0.0091608
                     24,                 1.4055,                0.77342,                 1.4254,                 0.8527,                0.88867,                0.93594,                0.50635,                 1.4667,                 1.2437,                 1.6547,              0.0091209,              0.0091209,              0.0091209
                     25,                 1.3687,                0.73583,                 1.4201,                0.93639,                0.94298,                0.97755,                0.56642,                 1.3949,                0.98126,                 1.5749,              0.0090809,              0.0090809,              0.0090809
                     26,                 1.3724,                0.77299,                 1.4142,                0.94574,                 0.9386,                0.98027,                0.55406,                 1.4649,                 1.2338,                 1.6588,               0.009041,               0.009041,               0.009041
                     27,                 1.3736,                0.72528,                  1.402,                 0.9096,                0.92677,                0.97355,                 0.5281,                 1.5356,                 1.3196,                 1.7114,               0.009001,               0.009001,               0.009001
                     28,                 1.4548,                0.75599,                 1.4437,                0.84581,                0.90351,                0.93805,                 0.4614,                 1.6293,                 1.5034,                 1.7662,               0.008961,               0.008961,               0.008961
                     29,                 1.4043,                0.75405,                 1.4178,                0.91613,                0.92544,                0.96993,                0.53072,                 1.4915,                 1.0074,                 1.7003,              0.0089211,              0.0089211,              0.0089211
                     30,                 1.3477,                0.74174,                 1.4016,                0.94233,                0.91667,                0.97596,                 0.5438,                 1.4197,                0.85096,                 1.6228,              0.0088811,              0.0088811,              0.0088811
                     31,                 1.3884,                0.76773,                 1.4187,                0.90133,                0.92152,                 0.9672,                0.53166,                 1.5187,                0.78275,                 1.6803,              0.0088412,              0.0088412,              0.0088412
                     32,                 1.3571,                0.73319,                 1.4188,                0.85471,                0.90309,                0.94863,                 0.5503,                 1.4159,                 1.0111,                 1.5812,              0.0088012,              0.0088012,              0.0088012
                     33,                  1.359,                0.72975,                 1.3907,                0.88132,                0.89035,                0.95558,                0.51378,                 1.4601,                 1.4466,                 1.6337,              0.0087612,              0.0087612,              0.0087612
                     34,                 1.3456,                0.70565,                 1.3688,                0.88034,                0.86404,                0.93754,                 0.4778,                 1.5998,                 1.2611,                 1.7949,              0.0087213,              0.0087213,              0.0087213
                     35,                 1.3598,                0.74601,                 1.3847,                0.94238,                 0.9326,                0.98442,                0.55727,                 1.3964,                0.73033,                 1.5902,              0.0086813,              0.0086813,              0.0086813
                     36,                 1.3312,                0.71269,                 1.3924,                0.86989,                0.90902,                0.90975,                0.48655,                 1.5163,                0.84197,                 1.6725,              0.0086414,              0.0086414,              0.0086414
                     37,                 1.3125,                0.68513,                 1.3825,                0.90295,                0.89772,                0.95839,                0.54137,                 1.3491,                 1.5938,                 1.5537,              0.0086014,              0.0086014,              0.0086014
                     38,                 1.3207,                0.69504,                 1.3861,                 0.7541,                0.79386,                0.83916,                0.47897,                  1.365,                 4.7537,                 1.5463,              0.0085614,              0.0085614,              0.0085614
                     39,                 1.2751,                0.67429,                 1.3666,                0.93077,                0.94345,                0.98259,                0.59329,                 1.3885,                0.98182,                 1.5554,              0.0085215,              0.0085215,              0.0085215
                     40,                 1.2781,                0.64656,                 1.3621,                0.93758,                0.95175,                0.98828,                0.55593,                 1.4733,                0.78108,                 1.6393,              0.0084815,              0.0084815,              0.0084815
                     41,                 1.3252,                 0.6791,                 1.3932,                0.94572,                 0.9935,                0.98926,                0.61856,                 1.2876,                0.62149,                 1.4719,              0.0084416,              0.0084416,              0.0084416
                     42,                 1.3133,                0.67975,                 1.3738,                 0.9451,                0.96491,                0.98802,                0.56256,                 1.4537,                0.74425,                 1.5851,              0.0084016,              0.0084016,              0.0084016
                     43,                 1.3433,                 0.6697,                 1.3602,                 0.9406,                 0.9693,                0.98411,                0.57259,                 1.3879,                0.73015,                 1.5452,              0.0083616,              0.0083616,              0.0083616
                     44,                 1.2909,                 0.6463,                 1.3816,                0.98608,                0.97368,                0.99385,                0.63317,                 1.2881,                0.59915,                 1.4881,              0.0083217,              0.0083217,              0.0083217
